symbol,currency,exchange_timezone,exchange,mic_code,type,datetime,open_value,high_value,low_value,close_value,volume
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-11,510.48,511.88,508.5,511.28,62557200
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-08,515.46,518.22,511.13,511.72,86425500
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-07,513.14,515.89,509.81,514.81,58652100
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-06,510.55,512.07,508.42,509.75,68382400
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-05,510.24,510.7,504.91,507.18,72855600
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-04,512.03,514.2,512.0,512.3,49799300
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-01,508.98,513.29,508.56,512.85,76805900
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-02-29,508.07,509.74,505.35,508.08,83924800
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-02-28,505.33,506.86,504.96,506.26,56506600
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-02-27,506.7,507.16,504.75,506.93,48854500
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-02-26,508.3,508.75,505.86,505.99,50386700
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-02-23,509.27,510.13,507.1,507.85,61321800
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-02-22,504.01,508.49,503.02,507.5,76402500
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-02-21,495.42,497.37,493.56,497.21,59603800
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-02-20,497.72,498.41,494.45,496.76,71736700
